============================================================
Time  2018/05/22 12:57:09 136 
============================================================
[2018/05/22 12:57:09 136] isr        28   isr loaded!  
[2018/05/22 12:57:09 136] isr        48   wifi  
[2018/05/22 12:57:11 678] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 688] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 698] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 709] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 719] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 728] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 739] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 749] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 759] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 769] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 770] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 779] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 790] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 800] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 811] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 820] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 830] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 841] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 851] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 861] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 871] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 881] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 891] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 901] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 912] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 922] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 931] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 942] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 953] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 962] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 967] isr_1conn  239  netperf:  17  
[2018/05/22 12:57:11 972] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 982] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:11 993] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:12 003] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:12 014] isr_1conn  1693 ISR_MSG_AUW  320  2  
